番号,164,
名前,维缦·浅间,
呼び名,维缦,
基礎,体力,2600
基礎,気力,1400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,1500
素質,処女,1
素質,無接吻経験,1
素質,性別,1

素質,胸圍,-1
素質,態度,-1
素質,貞操,-1
素質,習得速度,1
素質,Ｖ感度,-1 

素質,神霊,1

能力,戦闘能力,2
能力,教養,3
能力,音楽技能,3
素質,調合Lv,2


フラグ,基本服装セット,264;服装
;服装是角色编号+100
フラグ,地位,600
フラグ,初期位置,753
フラグ,大家候補,754
フラグ,居住必要信賴度,300
フラグ,来訪時間,720;12時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,180;3時
フラグ,起床時間,660;11時
フラグ,經常去的地方,7
フラグ,自宅位置,790
フラグ,移動節度,1
フラグ,弾幕特能,57
フラグ,口調,3

相性,72,80;永琳
相性,32,150;神奈子
相性,98,50
相性,99,50
相性,110,50
相性,163,120
相性,165,120

CSTR,10,～锦上京的命脉～　●种族：古神人　●能力：驱蛇噬物并使其转生程度的能力
