番号,165,
名前,磐永 阿梨夜,
呼び名,阿梨夜,
基礎,体力,2500
基礎,気力,1600
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,1500
素質,処女,1
素質,無接吻経験,1
素質,性別,1

素質,胆量,1
素質,性的兴趣,-1
素質,開朗／阴郁,-1
素質,難以越過的底線,1
素質,貞操,1 
素質,自尊心,1 
素質,弄濕難易,-1

素質,神霊,1

能力,戦闘能力,4
能力,教養,3
素質,調合Lv,2


フラグ,基本服装セット,265;服装
;服装是角色编号+100
フラグ,地位,1000
フラグ,初期位置,760
フラグ,大家候補,754
フラグ,居住必要信賴度,300
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,120;2時
フラグ,起床時間,600;10時
フラグ,經常去的地方,7
フラグ,自宅位置,790
フラグ,移動節度,1
フラグ,弾幕特能,312

相性,72,80;永琳
相性,98,50
相性,99,50
相性,110,50
相性,164,120

CSTR,10,～恒久姬～　●种族：石之女神　●能力：阻止变化程度的能力
