;------------------------------------------------------------
;	顔絵
;------------------------------------------------------------
;・ファイルネームはキャラIDに合わせる
;・デフォ設定 width180 height180
;サイズ変える場合は全てリサイズしないとズレます
;フォントの10倍以上で揃える
;縮小には耐えられますが拡大はやめたほうがいいかと

;・キャラ毎に1枚画像ファイルに収める
;服装違いをｙ軸、表情差分をｘ軸に増設
;・リソース定義規則
;顔絵の種類(ファイル名違い)_服装(Yの段落振り)_表情(Xの段落振り)_キャラID_差分
;種類	立ち絵、顔絵
;服装	体形、服、裸、特殊服装
;表情	通常、笑顔、怒り、オナニー、愛撫、性交
;エフェクト 照れ、吐息、汗
;差分   エフェクトを共有しない画像

;リソース名,元ファイル名,x,y,width,height
;デフォルトネーム
;顔絵_服_通常_17,17_顔.webp,0,0,180,180

;_裸
;ないキャラは服の座標で代用
;既に定義されているので、追加したら座標だけ変える
;顔絵_裸_通常_17,17_顔.webp,0,180,180,180

;表情
;顔絵_服_笑顔_17,17_顔.webp,180,0,180,180
;顔絵_服_怒り_17,17_顔.webp,360,0,180,180
;顔絵_裸_笑顔_17,17_顔.webp,180,180,180,180
;顔絵_裸_怒り_17,17_顔.webp,360,180,180,180
;顔絵_裸_オナニー_17,17_顔.webp,720,180,180,180
;顔絵_裸_愛撫_17,17_顔.webp,0,360,180,180
;顔絵_裸_性交_17,17_顔.webp,180,360,180,180

;エフェクト 上から重ねて表示されます
;顔絵_照れ_17,17_顔.webp,540,0,180,180
;顔絵_吐息_17,17_顔.webp,360,360,180,180
;顔絵_汗_17,17_顔.webp,540,360,180,180

;差分は裸やエフェクトを共有しない画像に使用
;共有する場合は特殊服装を使用する

;------------------------------------------------------------

;------------------------------------------------------------
;1_霊夢
;------------------------------------------------------------
;服
顔絵_服_通常_1,1_顔.webp,0,0,180,180
顔絵_服_笑顔_1,1_顔.webp,180,0,180,180
顔絵_服_怒り_1,1_顔.webp,360,0,180,180
顔絵_服_発情_1,1_顔.webp,900,0,180,180
顔絵_服_睡眠_1,1_顔.webp,720,360,180,180
;裸
顔絵_裸_通常_1,1_顔.webp,0,180,180,180
顔絵_裸_笑顔_1,1_顔.webp,180,180,180,180
顔絵_裸_怒り_1,1_顔.webp,360,180,180,180
顔絵_裸_発情_1,1_顔.webp,900,180,180,180
顔絵_裸_睡眠_1,1_顔_2.webp,720,360,180,180
顔絵_裸_オナニー_1,1_顔.webp,720,180,180,180
顔絵_裸_愛撫_1,1_顔.webp,0,360,180,180
顔絵_裸_性交_1,1_顔.webp,180,360,180,180
;体形差分
顔絵_巨乳服_睡眠_1,1_顔.webp,900,360,180,180
顔絵_巨乳裸_睡眠_1,1_顔_2.webp,900,360,180,180
顔絵_爆乳服_睡眠_1,1_顔.webp,900,360,180,180
顔絵_爆乳裸_睡眠_1,1_顔_2.webp,900,360,180,180
顔絵_巨乳服_睡眠_1_冬服,1_顔.webp,900,360,180,180
顔絵_巨乳裸_睡眠_1_冬服,1_顔_2.webp,900,360,180,180
顔絵_爆乳服_睡眠_1_冬服,1_顔.webp,900,360,180,180
顔絵_爆乳裸_睡眠_1_冬服,1_顔_2.webp,900,360,180,180
;体形拆分
顔絵_服_巨乳拆分_1,1_巨.webp,0,0,180,180
顔絵_裸_巨乳拆分_1,1_巨.webp,0,180,180,180
;エフェクト
顔絵_照れ_1,1_顔.webp,540,0,180,180
顔絵_吐息_1,1_顔.webp,360,360,180,180
顔絵_汗_1,1_顔.webp,540,360,180,180
;差分
顔絵_服_通常_1_冬服,1_顔_2.webp,0,0,180,180
顔絵_服_笑顔_1_冬服,1_顔_2.webp,180,0,180,180
顔絵_服_怒り_1_冬服,1_顔_2.webp,360,0,180,180
顔絵_服_発情_1_冬服,1_顔_2.webp,900,0,180,180
顔絵_服_睡眠_1_冬服,1_顔.webp,720,360,180,180
顔絵_裸_通常_1_冬服,1_顔_2.webp,0,180,180,180
顔絵_裸_笑顔_1_冬服,1_顔_2.webp,180,180,180,180
顔絵_裸_怒り_1_冬服,1_顔_2.webp,360,180,180,180
顔絵_裸_発情_1_冬服,1_顔_2.webp,900,180,180,180
顔絵_裸_睡眠_1_冬服,1_顔_2.webp,720,360,180,180
顔絵_裸_オナニー_1_冬服,1_顔_2.webp,720,180,180,180
顔絵_裸_愛撫_1_冬服,1_顔_2.webp,0,360,180,180
顔絵_裸_性交_1_冬服,1_顔_2.webp,180,360,180,180
顔絵_服_巨乳拆分_1_冬服,1_巨.webp,180,0,180,180
顔絵_裸_巨乳拆分_1_冬服,1_巨.webp,180,180,180,180
顔絵_照れ_1_冬服,1_顔_2.webp,540,0,180,180
顔絵_吐息_1_冬服,1_顔_2.webp,360,360,180,180
顔絵_汗_1_冬服,1_顔_2.webp,540,360,180,180

顔絵_すやすや照れ_1,1_顔.webp,540,180,180,180
顔絵_AFTERTRAニー_1,1_顔.webp,720,0,180,180
顔絵_AFTERTRAニー巨乳_1,1_顔_2.webp,720,0,180,180

;------------------------------------------------------------
;2_る～こと
;------------------------------------------------------------
;服
顔絵_服_通常_2,2_顔.webp,0,0,180,180
顔絵_服_笑顔_2,2_顔.webp,180,0,180,180
顔絵_服_怒り_2,2_顔.webp,360,0,180,180
顔絵_服_発情_2,2_顔.webp,900,0,180,180
;裸
顔絵_裸_通常_2,2_顔.webp,0,180,180,180
顔絵_裸_笑顔_2,2_顔.webp,180,180,180,180
顔絵_裸_怒り_2,2_顔.webp,360,180,180,180
顔絵_裸_発情_2,2_顔.webp,900,180,180,180
顔絵_裸_オナニー_2,2_顔.webp,720,180,180,180
顔絵_裸_愛撫_2,2_顔.webp,0,360,180,180
顔絵_裸_性交_2,2_顔.webp,180,360,180,180
;エフェクト
顔絵_照れ_2,2_顔.webp,540,0,180,180
顔絵_吐息_2,2_顔.webp,360,360,180,180
顔絵_汗_2,2_顔.webp,540,360,180,180
;差分

;------------------------------------------------------------
;3_カナ
;------------------------------------------------------------
;服
顔絵_服_通常_3,3_顔.webp,0,0,180,180
顔絵_服_笑顔_3,3_顔.webp,180,0,180,180
顔絵_服_怒り_3,3_顔.webp,360,0,180,180
顔絵_服_発情_3,3_顔.webp,900,0,180,180
;裸
顔絵_裸_通常_3,3_顔.webp,0,180,180,180
顔絵_裸_笑顔_3,3_顔.webp,180,180,180,180
顔絵_裸_怒り_3,3_顔.webp,360,180,180,180
顔絵_裸_発情_3,3_顔.webp,900,180,180,180
顔絵_裸_オナニー_3,3_顔.webp,720,180,180,180
顔絵_裸_愛撫_3,3_顔.webp,0,360,180,180
顔絵_裸_性交_3,3_顔.webp,180,360,180,180
;エフェクト
顔絵_照れ_3,3_顔.webp,540,0,180,180
顔絵_吐息_3,3_顔.webp,360,360,180,180
顔絵_汗_3,3_顔.webp,540,360,180,180
;差分

;------------------------------------------------------------
;4_魅魔
;------------------------------------------------------------
;服
顔絵_服_通常_4,4_顔.webp,0,0,180,180
顔絵_服_笑顔_4,4_顔.webp,180,0,180,180
